Status_of_existing_checking_account,Duration_in_month,Credit_history,Purpose,Credit_amount,Savings_account/bonds,Present_employment_since,Installment_rate_in_percentage_of_disposable_income,Personal_status_and_sex,guarantors,Present_residence_since,Property,Age_in_years,Other_installment_plans,Housing,Number_of_existing_credits_at_this_bank,Job,Number_of_people_being_liable_to_provide_maintenance_for,Telephone,Foreign_Worker,Class
A11,6,critical account,radio/television,1169,Unknown, >= 7 years,4,male : single,,4,real estate,67,,Own,2,skilled employee,1,registered under the customers name,Yes,1
A12,48,existing credits paid back duly till now,radio/television,5951,< 100 DM,1 <= ... < 4 years,2,female : divorced/separated/married,,2,real estate,22,,Own,1,skilled employee,1,,Yes,2
A14,12,critical account,education,2096,< 100 DM,4 <= ... < 7 years,2,male : single,,3,real estate,49,,Own,1,unskilled - resident,2,,Yes,1
A11,42,existing credits paid back duly till now,furniture/equipment,7882,< 100 DM,4 <= ... < 7 years,2,male : single,guarantor,4,building society savings agreement/ life insurance,45,,For Free,1,skilled employee,2,,Yes,1
A11,24,delay in paying off in the past,Car Used,4870,< 100 DM,1 <= ... < 4 years,3,male : single,,4,no property,53,,For Free,2,skilled employee,2,,Yes,2
A14,36,existing credits paid back duly till now,education,9055,Unknown,1 <= ... < 4 years,2,male : single,,4,no property,35,,For Free,1,unskilled - resident,2,registered under the customers name,Yes,1
A14,24,existing credits paid back duly till now,furniture/equipment,2835,500 <= ... < 1000 DM, >= 7 years,3,male : single,,4,building society savings agreement/ life insurance,53,,Own,1,skilled employee,1,,Yes,1
A12,36,existing credits paid back duly till now,Car New,6948,< 100 DM,1 <= ... < 4 years,2,male : single,,2,car or other,35,,Rent,1,management,1,registered under the customers name,Yes,1
A14,12,existing credits paid back duly till now,radio/television,3059,. >= 1000 DM,4 <= ... < 7 years,2,male : divorced/separated,,4,real estate,61,,Own,1,unskilled - resident,1,,Yes,1
A12,30,critical account,Car Used,5234,< 100 DM,unemployed,4,male : married/widowed,,2,car or other,28,,Own,2,management,1,,Yes,2
A12,12,existing credits paid back duly till now,Car Used,1295,< 100 DM,< 1 year,3,female : divorced/separated/married,,1,car or other,25,,Rent,1,skilled employee,1,,Yes,2
A11,48,existing credits paid back duly till now,business,4308,< 100 DM,< 1 year,3,female : divorced/separated/married,,4,building society savings agreement/ life insurance,24,,Rent,1,skilled employee,1,,Yes,2
A12,12,existing credits paid back duly till now,radio/television,1567,< 100 DM,1 <= ... < 4 years,1,female : divorced/separated/married,,1,car or other,22,,Own,1,skilled employee,1,registered under the customers name,Yes,1
A11,24,critical account,Car Used,1199,< 100 DM, >= 7 years,4,male : single,,4,car or other,60,,Own,2,unskilled - resident,1,,Yes,2
A11,15,existing credits paid back duly till now,Car Used,1403,< 100 DM,1 <= ... < 4 years,2,female : divorced/separated/married,,4,car or other,28,,Rent,1,skilled employee,1,,Yes,1
A11,24,existing credits paid back duly till now,radio/television,1282,100 <= ... < 500 DM,1 <= ... < 4 years,4,female : divorced/separated/married,,2,car or other,32,,Own,1,unskilled - resident,1,,Yes,2
A14,24,critical account,radio/television,2424,Unknown, >= 7 years,4,male : single,,4,building society savings agreement/ life insurance,53,,Own,2,skilled employee,1,,Yes,1
A11,30,no credits taken/ all credits paid back duly,business,8072,Unknown,< 1 year,2,male : single,,3,car or other,25,Bank,Own,3,skilled employee,1,,Yes,1
A12,24,existing credits paid back duly till now,Car New,12579,< 100 DM, >= 7 years,4,female : divorced/separated/married,,2,no property,44,,For Free,1,management,1,registered under the customers name,Yes,2
A14,24,existing credits paid back duly till now,radio/television,3430,500 <= ... < 1000 DM, >= 7 years,3,male : single,,2,car or other,31,,Own,1,skilled employee,2,registered under the customers name,Yes,1
A14,9,critical account,Car Used,2134,< 100 DM,1 <= ... < 4 years,4,male : single,,4,car or other,48,,Own,3,skilled employee,1,registered under the customers name,Yes,1
A11,6,existing credits paid back duly till now,radio/television,2647,500 <= ... < 1000 DM,1 <= ... < 4 years,2,male : single,,3,real estate,44,,Rent,1,skilled employee,2,,Yes,1
A11,10,critical account,Car Used,2241,< 100 DM,< 1 year,1,male : single,,3,real estate,48,,Rent,2,unskilled - resident,2,,No,1
A12,12,critical account,Car New,1804,100 <= ... < 500 DM,< 1 year,3,male : single,,4,building society savings agreement/ life insurance,44,,Own,1,skilled employee,1,,Yes,1
A14,10,critical account,furniture/equipment,2069,Unknown,1 <= ... < 4 years,2,male : married/widowed,,1,car or other,26,,Own,2,skilled employee,1,,No,1
A11,6,existing credits paid back duly till now,furniture/equipment,1374,< 100 DM,1 <= ... < 4 years,1,male : single,,2,real estate,36,Bank,Own,1,unskilled - resident,1,registered under the customers name,Yes,1
A14,6,no credits taken/ all credits paid back duly,radio/television,426,< 100 DM, >= 7 years,4,male : married/widowed,,4,car or other,39,,Own,1,unskilled - resident,1,,Yes,1
A13,12,all credits at this bank paid back duly,radio/television,409,. >= 1000 DM,1 <= ... < 4 years,3,female : divorced/separated/married,,3,real estate,42,,Rent,2,skilled employee,1,,Yes,1
A12,7,existing credits paid back duly till now,radio/television,2415,< 100 DM,1 <= ... < 4 years,3,male : single,guarantor,2,real estate,34,,Own,1,skilled employee,1,,Yes,1
A11,60,delay in paying off in the past,business,6836,< 100 DM, >= 7 years,3,male : single,,4,no property,63,,Own,2,skilled employee,1,registered under the customers name,Yes,2
A12,18,existing credits paid back duly till now,business,1913,. >= 1000 DM,< 1 year,3,male : married/widowed,,3,real estate,36,Bank,Own,1,skilled employee,1,registered under the customers name,Yes,1
A11,24,existing credits paid back duly till now,furniture/equipment,4020,< 100 DM,1 <= ... < 4 years,2,male : single,,2,car or other,27,Stores,Own,1,skilled employee,1,,Yes,1
A12,18,existing credits paid back duly till now,Car Used,5866,100 <= ... < 500 DM,1 <= ... < 4 years,2,male : single,,2,car or other,30,,Own,2,skilled employee,1,registered under the customers name,Yes,1
A14,12,critical account,business,1264,Unknown, >= 7 years,4,male : single,,4,no property,57,,Rent,1,unskilled - resident,1,,Yes,1
A13,12,existing credits paid back duly till now,furniture/equipment,1474,< 100 DM,< 1 year,4,female : divorced/separated/married,,1,building society savings agreement/ life insurance,33,Bank,Own,1,management,1,registered under the customers name,Yes,1
A12,45,critical account,radio/television,4746,< 100 DM,< 1 year,4,male : single,,2,building society savings agreement/ life insurance,25,,Own,2,unskilled - resident,1,,Yes,2
A14,48,critical account,education,6110,< 100 DM,1 <= ... < 4 years,1,male : single,,3,no property,31,Bank,For Free,1,skilled employee,1,registered under the customers name,Yes,1
A13,18,existing credits paid back duly till now,radio/television,2100,< 100 DM,1 <= ... < 4 years,4,male : single,co-applicant,2,real estate,37,Stores,Own,1,skilled employee,1,,Yes,2
A13,10,existing credits paid back duly till now,domestic appliances,1225,< 100 DM,1 <= ... < 4 years,2,male : single,,2,car or other,37,,Own,1,skilled employee,1,registered under the customers name,Yes,1
A12,9,existing credits paid back duly till now,radio/television,458,< 100 DM,1 <= ... < 4 years,4,male : single,,3,real estate,24,,Own,1,skilled employee,1,,Yes,1
